Model ,Accuracy ,Precision ,Recall ,F1 Score ,ROC AUC 
Logistic Regression,0.9017341040462428,0.8033792794692936,0.7752928889292526,0.7872574676182924,
SGD,0.8901734104046243,0.7839700996677741,0.7503973299427844,0.7604285714285715,
SVC,0.9739884393063584,0.9411585365853659,0.9498796657887567,0.9446187636083089,
